"tweet_id","user_description","filtered","text","hashtags"
78465,"Distrust of the government isn’t baseless cynicism. It’s realism. 🔥Trudeau",TRUE,"@MichaelChongMP @globalsugarwar Imagine having the audacity to tout that he is able to produce a #CovidVaccine in C… https://t.co/ibAEJSsPoJ","'CovidVaccine'"
78734,NA,TRUE,"When the rest of the world is distributing #CovidVaccine, #ChildrenOfTigray are starving by the millions with almost no medical care to save them from common illnesses. @USUN @UNHumanRights @G7 @NATO @Haavisto @JosepBorrellF @EU_Commission @SecBlinken @WFP https://t.co/56viz6Lp6c","'CovidVaccine', 'ChildrenOfTigray'"
48670,"Father. Husband. Runner. Craft Beer. Raising money for Child Advocates as part of #RunForAReason. Donate here: https://t.co/vxP2FIISRV",TRUE,"Interesting read from the ⁦@washingtonpost⁩. #vaccineswork #getthejab #covidvaccine  https://t.co/MVX4S0IfM4","'vaccineswork', 'getthejab', 'covidvaccine'"
98184,"NO WHITE SUPREMACY! Female;Retired;Humanist;Vet; Trek;Whovian;Tennant;Capaldi;BigFinish; Shakespeare;Classical Music;Opera;Beatles;Queen",TRUE,"My 90 year old Mom is over 2 weeks out from her 2nd COVID shot and she is so excited about being able to go to the… https://t.co/DBnCjywDK9",NA
17036,"Doctor, mother, wife, woman LIVING with metastatic breast cancer. Grant reviewer. Conference goer. METAvivor board member. She/her. I'm #NotDeadYet",TRUE,"@ErikaHamilton9 Every one working in a hospital/clinic/rehab/urgent care/any healthcare facility from the CEO to the docs to the nurses to the therapists to the cafeteria staff to the janitors - EVERYONE - should get the #CovidVaccine otherwise patients are vulnerable. #GetVaccinated #MaskUp","'CovidVaccine', 'GetVaccinated', 'MaskUp'"
1074,"Social media and digital comms at @PATHtweets. Formerly at @fhi360. Feminist. Bread enthusiast. Dog mom. Views = mine. she/her",TRUE,"So excited to be getting my #COVIDVaccine here next week! #VaccinesWork https://t.co/SJRMjmbthw","'COVIDVaccine', 'VaccinesWork'"
9317,"Neurology Resident. Med-webhead. Montréalais. #injusticehasacure #HealthEquity",TRUE,"I had a fever up until 36 hours after the second dose of the #CovidVaccine, (thanks to IL-1, IL-6 and TNF-α). 

Still beats being intubated.","'CovidVaccine'"
53169,"HIV/AIDS | Global/Public Health | Immigrant/Refugee Health | Reproductive/Sexual Health | Interim Associate Dean for Research | Opinions My Own |",TRUE,"Some good news via @daktari1 #COVID19 #vaccines #CovidVaccine https://t.co/G1JtWFWKhz","'COVID19', 'vaccines', 'CovidVaccine'"
96123,"Helping New Yorkers connect to low barrier, safe, and verified resources and assistance at https://t.co/g2MiCcxckg.",TRUE,"Our oldest Listing Partner is now providing the #CovidVaccine!  

Get yours any Tuesday, Wednesday, and Thursday! 

Thanks @HolyApostlesNYC for ensuring every New Yorker stays safe! https://t.co/aT5EHL0FMh","'CovidVaccine'"
39411,"Biden Harris♥️",TRUE,"Another new #coronavirus variant have been detected in the UK which has a mutation that may help it escape immunity… https://t.co/33TMeu3zXN","'coronavirus'"
