tweet_id,vaccine_filter,hesitancy_filter,safety_filter,mistrust_filter
1,True,False,False,False
2,True,False,False,False
3,True,True,True,True
4,True,True,False,True
5,True,False,False,False
6,True,False,False,False
7,True,False,False,False
8,False,False,False,False
9,True,False,False,False
10,True,False,False,False
11,True,False,False,False
12,True,False,False,False
13,True,False,False,False
14,True,False,False,False
15,False,False,False,False
16,True,False,False,False
17,True,False,False,False
18,False,False,False,False
19,True,False,False,False
20,True,False,False,False
21,True,False,False,False
22,True,False,False,False
23,True,False,False,False
24,True,False,False,False
25,True,False,False,False
26,True,True,False,True
27,True,False,False,False
28,True,False,False,False
29,False,False,False,False
30,True,True,False,False
31,False,False,False,False
32,True,False,False,False
33,True,False,False,False
34,True,False,False,False
35,True,False,False,False
36,True,False,False,False
37,False,False,False,False
38,True,False,False,False
39,True,False,False,False
40,True,False,False,False
41,True,False,False,False
42,True,False,False,False
43,True,False,False,False
44,False,False,False,False
45,False,False,False,False
46,False,False,False,False
47,True,False,False,False
48,True,False,False,False
49,True,False,False,False
50,True,False,False,False
51,False,False,False,False
52,False,False,False,False
53,True,False,False,False
54,True,False,False,False
55,True,False,False,False
56,True,False,False,False
57,True,False,False,False
58,True,False,False,False
59,True,False,False,False
60,False,False,False,False
61,True,False,False,False
62,True,False,False,False
63,True,False,False,False
64,True,False,False,False
65,True,False,False,False
66,True,True,False,False
67,True,False,False,False
68,True,False,False,False
69,False,False,False,False
70,True,False,False,False
71,False,False,False,False
72,True,False,False,False
73,True,False,False,False
74,True,False,False,False
75,True,False,False,False
76,True,False,False,False
77,True,False,False,False
78,True,False,False,False
79,True,False,False,False
80,True,False,False,False
81,False,False,False,False
82,True,False,False,False
83,True,False,False,False
84,True,False,False,False
85,True,False,False,False
86,True,False,False,False
87,False,False,False,False
88,True,False,False,False
89,True,False,False,False
90,True,False,False,False
91,True,False,False,False
92,True,False,False,False
93,True,False,False,False
94,True,False,False,False
95,False,False,False,False
96,False,False,False,False
97,True,False,False,False
98,True,False,False,False
99,True,False,False,False
100,True,False,False,False
101,True,False,False,False
102,True,False,False,False
103,False,False,False,False
104,False,False,False,False
105,True,False,False,False
106,True,False,False,False
107,True,False,False,False
108,True,False,False,False
109,True,False,False,False
110,True,False,False,False
111,True,False,False,False
112,False,False,False,False
113,True,False,False,False
114,True,False,False,False
115,True,False,False,False
116,False,False,False,False
117,False,False,False,False
118,True,False,False,False
119,True,False,False,False
120,True,False,False,False
121,True,False,False,False
122,True,False,False,False
123,True,False,False,False
124,True,False,False,False
125,True,False,False,False
126,True,False,False,False
127,True,False,False,False
128,True,False,False,False
129,True,False,False,False
130,False,False,False,False
131,True,False,False,False
132,True,False,False,False
133,True,False,False,False
134,False,False,False,False
135,False,False,False,False
136,True,False,False,False
137,False,False,False,False
138,False,False,False,False
139,True,False,False,False
140,True,False,False,False
141,True,False,False,False
142,True,False,False,False
143,True,False,False,False
144,True,False,False,False
145,True,False,False,False
146,True,False,False,False
147,True,False,False,False
148,True,False,False,False
149,False,False,False,False
150,True,False,False,False
151,True,False,False,False
152,True,False,False,False
153,True,False,False,False
154,True,False,False,False
155,False,False,False,False
156,True,False,False,False
157,True,False,False,False
158,True,False,False,False
159,True,False,False,False
160,True,False,False,False
161,True,False,False,False
162,True,False,False,False
163,True,False,False,False
164,True,False,False,False
165,True,False,False,False
166,True,False,False,False
167,True,False,False,False
168,True,False,False,False
169,True,False,False,False
170,True,False,False,False
171,True,False,False,False
172,True,False,False,False
173,True,False,False,False
174,False,False,False,False
175,True,False,False,False
176,True,False,False,False
177,True,False,False,False
178,True,False,False,False
179,True,False,False,False
180,True,False,False,False
181,False,False,False,False
182,True,False,False,False
183,True,False,False,False
184,True,False,False,False
185,True,False,False,False
186,False,False,False,False
187,True,False,False,False
188,True,True,False,True
189,True,False,False,False
190,True,False,False,False
191,True,False,False,False
192,True,False,False,False
193,True,False,False,False
194,True,False,False,False
195,True,False,False,False
196,True,False,False,False
197,True,False,False,False
198,True,False,False,False
199,True,False,False,False
200,False,False,False,False
201,True,False,False,False
202,False,False,False,False
203,True,False,False,False
204,True,False,False,False
