tweet_id,textblob_sentiment_label,textblob_subjectivity_label,textblob_sentiment_score,textblob_subjectivity_score
1,Neutral,Objective,0.0,0.0
2,Positive,Objective,0.2,0.4
3,Neutral,Objective,0.0,0.2
4,Neutral,Objective,0.025,0.175
5,Negative,Subjective,-0.20000000000000004,0.7666666666666666
6,Neutral,Objective,0.0,0.0
7,Neutral,Subjective,0.0,0.6
8,Positive,Subjective,0.5,0.5
9,Positive,Objective,0.4166666666666667,0.4583333333333333
10,Positive,Objective,0.05,0.35
11,Negative,Objective,-0.1,0.4
12,Neutral,Objective,0.0,0.05
13,Positive,Objective,0.2,0.4
14,Negative,Objective,-0.05833333333333333,0.4361111111111111
15,Neutral,Objective,0.0,0.0
16,Neutral,Subjective,0.04999999999999999,0.525
17,Negative,Objective,-0.3499999999999999,0.44166666666666665
18,Neutral,Objective,0.0,0.0
19,Positive,Objective,0.2,0.4
20,Negative,Subjective,-1.0,0.8
21,Neutral,Objective,0.0,0.0
22,Positive,Objective,0.225,0.45
23,Positive,Subjective,0.5,0.5
24,Positive,Subjective,0.5,0.5
25,Positive,Objective,0.26666666666666666,0.43333333333333335
26,Neutral,Subjective,0.0,1.0
27,Neutral,Objective,0.0,0.0
28,Neutral,Subjective,0.0,0.5
29,Neutral,Objective,0.0,0.0
30,Neutral,Objective,0.0,0.0
31,Neutral,Objective,0.0,0.0
32,Neutral,Objective,0.0,0.0
33,Negative,Objective,-0.0625,0.19999999999999998
34,Positive,Objective,0.06818181818181818,0.22727272727272727
35,Neutral,Objective,0.0,0.0
36,Neutral,Objective,0.0,0.0
37,Neutral,Objective,0.0,0.0
38,Positive,Subjective,0.5,0.5
39,Neutral,Objective,0.0,0.0
40,Negative,Objective,-0.175,0.48750000000000004
41,Positive,Subjective,0.13636363636363635,0.5
42,Positive,Objective,0.09285714285714286,0.2587301587301587
43,Negative,Objective,-0.14583333333333334,0.30416666666666664
44,Positive,Subjective,0.13333333333333333,0.6333333333333333
45,Positive,Objective,0.08333333333333333,0.14444444444444446
46,Positive,Objective,0.1875,0.4375
47,Neutral,Objective,0.0,0.0
48,Neutral,Objective,0.0,0.0
49,Neutral,Objective,0.0,0.0
50,Positive,Subjective,1.0,1.0
51,Negative,Subjective,-0.08787878787878788,0.5
52,Positive,Subjective,0.3499999999999999,0.55
53,Positive,Subjective,0.4,0.8
54,Neutral,Objective,0.0,0.0
55,Negative,Subjective,-0.375,0.8
56,Positive,Objective,0.13333333333333333,0.48333333333333334
57,Neutral,Objective,0.0,0.0
58,Neutral,Subjective,0.0,0.75
59,Positive,Subjective,0.5,0.5
60,Positive,Objective,0.2,0.25
61,Neutral,Objective,0.0,0.0
62,Positive,Subjective,0.36666666666666664,0.5333333333333333
63,Positive,Subjective,0.46875,0.75
64,Neutral,Objective,0.0,0.0
65,Positive,Subjective,0.4166666666666667,0.6157407407407407
66,Positive,Objective,0.125,0.2
67,Positive,Subjective,0.4,0.75
